,created_at,favorite_count,id,retweet_count,source,img_url,name,Stage,rating
0,2017-08-01 16:23:56,39467,892420643555336193,8853,Twitter for iPhone,http://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Phineas,None,13/10
1,2017-08-01 00:17:27,33819,892177421306343426,6514,Twitter for iPhone,http://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Tilly,None,13/10
2,2017-07-31 00:18:03,25461,891815181378084864,4328,Twitter for iPhone,http://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Archie,None,12/10
3,2017-07-30 15:58:51,42908,891689557279858688,8964,Twitter for iPhone,http://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Darla,None,13/10
4,2017-07-29 16:00:24,41048,891327558926688256,9774,Twitter for iPhone,http://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg,Franklin,None,12/10
5,2017-07-29 00:08:17,20562,891087950875897856,3261,Twitter for iPhone,http://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,None,None,13/10
6,2017-07-28 16:27:12,12041,890971913173991426,2158,Twitter for iPhone,http://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Jax,None,13/10
7,2017-07-28 00:22:40,56848,890729181411237888,16716,Twitter for iPhone,http://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg,None,None,13/10
8,2017-07-27 16:25:51,28226,890609185150312448,4429,Twitter for iPhone,http://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Zoey,None,13/10
9,2017-07-26 15:59:51,32467,890240255349198849,7711,Twitter for iPhone,http://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Cassie,doggo,14/10
10,2017-07-26 00:31:25,31166,890006608113172480,7624,Twitter for iPhone,http://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Koda,None,13/10
11,2017-07-25 16:11:53,28268,889880896479866881,5156,Twitter for iPhone,http://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,Bruno,None,13/10
12,2017-07-25 01:55:32,38818,889665388333682689,8538,Twitter for iPhone,http://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,None,puppo,13/10
13,2017-07-25 00:10:02,27672,889638837579907072,4735,Twitter for iPhone,http://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,Ted,None,12/10
14,2017-07-24 17:02:04,15359,889531135344209921,2321,Twitter for iPhone,http://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Stuart,puppo,13/10
15,2017-07-24 00:19:32,25652,889278841981685760,5637,Twitter for iPhone,http://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Oliver,None,13/10
16,2017-07-23 00:22:39,29611,888917238123831296,4709,Twitter for iPhone,http://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Jim,None,12/10
17,2017-07-22 16:56:37,26080,888804989199671297,4559,Twitter for iPhone,http://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Zeke,None,13/10
18,2017-07-22 00:23:06,20290,888554962724278272,3732,Twitter for iPhone,http://pbs.twimg.com/media/DFTH_OiUMAE-k4M.jpg,Ralphus,None,13/10
19,2017-07-20 16:49:33,22201,888078434458587136,3653,Twitter for iPhone,http://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,Gerald,None,12/10
20,2017-07-19 16:06:48,30779,887705289381826560,5609,Twitter for iPhone,http://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,Jeffrey,None,13/10
21,2017-07-19 03:39:09,46959,887517139158093824,12082,Twitter for iPhone,http://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,such,None,14/10
22,2017-07-19 00:47:34,69871,887473957103951883,18781,Twitter for iPhone,http://pbs.twimg.com/media/DFDw2tsUAAEw7XW.jpg,Canela,None,13/10
23,2017-07-18 16:08:03,34222,887343217045368832,10737,Twitter for iPhone,http://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,None,None,13/10
24,2017-07-18 00:07:08,31061,887101392804085760,6167,Twitter for iPhone,http://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,None,floof,12/10
25,2017-07-17 16:17:36,35859,886983233522544640,8084,Twitter for iPhone,http://pbs.twimg.com/media/DE8yicKXoAAnSF8.jpg,Maya,None,13/10
26,2017-07-16 23:58:41,12306,886736880519319552,3443,Twitter for iPhone,http://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,Mingus,None,13/10
27,2017-07-16 20:14:00,22798,886680336477933568,4610,Twitter for iPhone,http://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,Derek,None,13/10
28,2017-07-15 23:25:31,21524,886366144734445568,3316,Twitter for iPhone,http://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,Roscoe,pupper,12/10
30,2017-07-15 16:17:19,28469,886258384151887873,6523,Twitter for iPhone,http://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,Waffles,None,13/10
32,2017-07-14 22:10:11,33382,885984800019947520,7097,Twitter for iPhone,http://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,Jimbo,None,12/10
33,2017-07-13 15:58:47,36689,885528943205470208,6683,Twitter for iPhone,http://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,Maisey,None,13/10
